node,degree,betweenness,closeness,eigenvector
160,0.5418326693227091,0.07212078608028882,0.4496688397114823,0.14898280987275192
121,0.3754980079681275,0.024532102889508717,0.42761501763646054,0.13592343520192784
107,0.3695219123505976,0.02185778938072534,0.43313263076725356,0.14349082291655316
62,0.3655378486055777,0.024511105581801352,0.4367960817756949,0.1398989291234652
86,0.35258964143426297,0.037432912122184775,0.423034390478414,0.09944303261496094
82,0.3446215139442231,0.018229609890582157,0.41365100288924406,0.11210321843353047
434,0.3047808764940239,0.014775207960301398,0.42843368072064014,0.1359320922745619
183,0.29880478087649404,0.0149555521023646,0.4185508589085057,0.12583492888210382
5,0.27689243027888444,0.026984804243671952,0.4076233015720966,0.08008739451120656
129,0.27191235059760954,0.01556946653440102,0.4190733943128858,0.11526755688389448
249,0.2689243027888446,0.00914498584009736,0.4123805759761935,0.11540510770267598
211,0.2599601593625498,0.013691702622698781,0.40321656317672255,0.10692816894202031
166,0.24900398406374502,0.013955522976033403,0.41544280797601674,0.10770306556333584
64,0.24601593625498008,0.018665323080076183,0.4214410406084389,0.0940386441764568
128,0.23904382470119523,0.010041832893355892,0.41725020366018833,0.12007934599336952
21,0.23705179282868524,0.012649398528524305,0.4022501963386717,0.09488045885920338
283,0.23505976095617528,0.00827238998542952,0.4086156894030694,0.1116335685142526
114,0.23306772908366533,0.008372892397783223,0.40009271614376823,0.10921472096311835
87,0.23107569721115537,0.008463876328105913,0.40886454183266935,0.10904955306993341
105,0.23107569721115537,0.006699560345777801,0.412634036686689,0.10628589146968422
13,0.2300796812749004,0.010797965523745075,0.37009679034688153,0.04951788390249614
106,0.22709163346613545,0.009330466439953387,0.4086156894030694,0.10863302221120125
282,0.22211155378486055,0.006737237258433714,0.3993786898805729,0.09443867525180508
333,0.21613545816733068,0.011492938932395693,0.38319382288198806,0.0801523063073669
142,0.21613545816733068,0.006094493036153956,0.4022501963386717,0.08444477579956995
377,0.21613545816733068,0.016220465196907407,0.37568862769403644,0.050332432316210714
63,0.2151394422310757,0.007536633652473934,0.3876186938159602,0.09530873417573121
58,0.2151394422310757,0.007339069355930424,0.39032301028444366,0.08867271901263214
420,0.21414342629482072,0.009433998418109563,0.40443107089713437,0.08760340527887821
820,0.21314741035856574,0.010587844938496738,0.3977224986310682,0.08951817358267859
115,0.2101593625498008,0.006634177887690185,0.39678225631751957,0.10037166424253562
533,0.20717131474103584,0.012892237833093335,0.3928353292505811,0.061130582132989456
212,0.20617529880478086,0.004272577953534523,0.405163293717105,0.10469716589497606
83,0.20219123505976094,0.005692098145988223,0.3928353292505811,0.08269727441189433
96,0.20119521912350596,0.010283812073512854,0.38297522971434284,0.07287817172469889
